"Geslacht";"Leeftijd";"Nationaliteit";"Perioden";"Eerste asielverzoeken (personen) (aantal)";"Nareizigers (personen) (aantal)"
"Totaal mannen en vrouwen ";"Totaal";"Nigeriaans ";"2023 april*";"      55";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 april";"       5";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 mei";"     205";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 juni";"     110";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 juli";"     100";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 augustus";"     120";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 september";"     120";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 oktober";"     150";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 november";"     145";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2022 december";"      50";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2023 januari*";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2023 februari*";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2023 maart*";"      35";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Oekraïens ";"2023 april*";"      35";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 april";"      50";"      10"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 mei";"      50";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 juni";"      30";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 juli";"      30";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 augustus";"      70";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 september";"     105";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 oktober";"      65";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 november";"      50";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2022 december";"      55";"      15"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2023 januari*";"      65";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2023 februari*";"      45";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2023 maart*";"      50";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Pakistaans ";"2023 april*";"      40";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 april";"      70";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 mei";"      55";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 juni";"      45";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 juli";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 augustus";"      20";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 september";"      40";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 oktober";"      90";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 november";"      85";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2022 december";"      50";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2023 januari*";"      30";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2023 februari*";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2023 maart*";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Russisch ";"2023 april*";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 april";"      20";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 mei";"      10";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 juni";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 juli";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 augustus";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 september";"      15";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 oktober";"      15";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 november";"      30";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2022 december";"      25";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2023 januari*";"      30";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2023 februari*";"      20";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2023 maart*";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Soedanees ";"2023 april*";"      10";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 april";"      80";"       0"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 mei";"     150";"       5"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 juni";"      70";"      20"
"Totaal mannen en vrouwen ";"Totaal";"Somalisch ";"2022 juli";"      95";"      15"
